Designator,Mid X,Mid Y,Rotation,Layer
C1,172.625,-65.375,270.0,top
C2,174.825,-65.375,270.0,top
C3,172.725,-74.625,270.0,top
C4,174.925,-74.625,270.0,top
C5,172.8,-56.35,270.0,top
C6,174.9,-56.35,270.0,top
C7,172.8,-47.375,270.0,top
C8,174.9,-47.375,270.0,top
C9,164.8,-122.8,270.0,top
D1,98.98,-125.1725,270.0,top
D10,121.78,-125.1725,270.0,top
D11,124.28,-125.1725,270.0,top
D12,126.88,-125.1725,270.0,top
D13,129.48,-125.1725,270.0,top
D14,131.98,-125.1725,270.0,top
D15,134.6,-55.5,90.0,top
D16,132.1,-55.5375,90.0,top
D17,129.5,-55.5375,90.0,top
D18,127.0,-55.5375,90.0,top
D19,124.4,-55.5375,90.0,top
D2,101.48,-125.1725,270.0,top
D20,121.9,-55.5,90.0,top
D21,119.4,-55.5375,90.0,top
D22,116.8,-55.5,90.0,top
D23,114.2,-55.5,90.0,top
D24,111.7,-55.5375,90.0,top
D25,109.2,-55.5,90.0,top
D3,103.98,-125.1725,270.0,top
D4,106.58,-125.1725,270.0,top
D5,109.08,-125.1725,270.0,top
D6,111.58,-125.1725,270.0,top
D7,114.18,-125.1725,270.0,top
D8,116.68,-125.1725,270.0,top
D9,119.28,-125.1725,270.0,top
J1,115.44,-117.8725,90.0,top
J2,121.925,-62.9,270.0,top
J3,179.9,-49.2,0.0,top
J4,180.7575,-115.9675,90.0,top
J5,180.6575,-128.2675,90.0,top
J6,180.5,-93.75,0.0,top
Q1,166.6,-54.4375,270.0,top
Q2,166.7,-45.5375,270.0,top
R1,98.98,-114.085,270.0,top
R10,121.78,-114.0725,270.0,top
R11,124.28,-114.0725,270.0,top
R12,126.88,-114.06,270.0,top
R13,129.38,-114.0725,270.0,top
R14,131.98,-114.06,270.0,top
R15,98.98,-121.5725,270.0,top
R16,101.48,-121.5725,270.0,top
R17,103.98,-121.5725,270.0,top
R18,106.58,-121.56,270.0,top
R19,109.08,-121.56,270.0,top
R2,101.48,-114.0725,270.0,top
R20,111.58,-121.56,270.0,top
R21,114.18,-121.56,270.0,top
R22,116.68,-121.56,270.0,top
R23,119.28,-121.585,270.0,top
R24,121.78,-121.5725,270.0,top
R25,124.28,-121.5725,270.0,top
R26,126.88,-121.5725,270.0,top
R27,129.48,-121.5725,270.0,top
R28,131.98,-121.56,270.0,top
R29,170.2,-53.5,180.0,top
R3,103.98,-114.085,270.0,top
R30,170.6,-56.3125,270.0,top
R31,170.0375,-62.575,180.0,top
R32,170.425,-65.3625,270.0,top
R33,174.1125,-62.575,180.0,top
R34,174.2,-53.5,180.0,top
R35,170.2875,-44.575,180.0,top
R36,170.6,-47.3875,270.0,top
R37,174.1875,-44.575,180.0,top
R38,134.6,-59.1,90.0,top
R39,132.1,-59.1125,90.0,top
R4,106.58,-114.06,270.0,top
R40,170.1375,-71.775,180.0,top
R41,170.525,-74.5875,270.0,top
R42,174.225,-71.775,180.0,top
R43,166.5875,-57.5,180.0,top
R44,166.7,-48.6,180.0,top
R45,129.5,-59.1125,90.0,top
R46,127.0,-59.1125,90.0,top
R47,124.4,-59.1125,90.0,top
R48,121.9,-59.1125,90.0,top
R49,119.4,-59.1125,90.0,top
R5,109.08,-114.06,270.0,top
R50,116.8,-59.1,90.0,top
R51,114.2,-59.1,90.0,top
R52,111.7,-59.1125,90.0,top
R53,109.2,-59.1125,90.0,top
R54,98.9,-103.7875,270.0,top
R55,101.5,-103.8125,270.0,top
R56,104.0,-103.8125,270.0,top
R57,106.6,-103.7875,270.0,top
R58,109.1,-103.8125,270.0,top
R59,111.2,-103.8125,270.0,top
R6,111.68,-114.06,270.0,top
R60,113.3,-103.8125,270.0,top
R61,122.7,-103.8125,270.0,top
R62,125.2,-103.8125,270.0,top
R63,127.7,-103.8125,270.0,top
R64,130.3,-103.8125,270.0,top
R65,132.9,-103.8125,270.0,top
R66,135.0,-103.8125,270.0,top
R67,137.1,-103.8125,270.0,top
R7,114.18,-114.06,270.0,top
R8,116.68,-114.085,270.0,top
R9,119.28,-114.0725,270.0,top
U1,105.28,-103.66,270.0,top
U2,129.0,-103.68,270.0,top
U3,120.665,-83.875,90.0,top
